name,ordinal,branch,location
고핀,앵무목,앵무과,열대조류관
백색유황앵무,앵무목,앵무과,열대조류관
보라부채머리,두견이목,부채머리과,열대조류관
왕관비둘기,비둘기목,비둘기과,열대조류관
에뮤,타조목,에뮤과,호주관
청금강앵무(유리매커우),앵무목,앵무과,열대조류관
황새,황새목,황새과,황새마을
홍부리황새,황새목,황새과,큰물새장
분홍펠리칸,사다새목,사다새과,큰물새장
홍금강앵무(분홍매커우),앵무목,앵무과,열대조류관
금강앵무,앵무목,앵무과,열대조류관
몽크앵무,앵무목,앵무과,열대조류관
푸른이마아마존앵무(청머리앵무),앵무목,앵무과,열대조류관
회색앵무(양무),앵무목,앵무과,열대조류관
오색앵무,앵무목,앵무과,열대조류관
왕관앵무(코커틸),앵무목,앵무과,열대조류관
인도공작(백),닭목,꿩과,공작마을
인도공작(청),닭목,꿩과,공작마을
문조,참새목,되새과,동물교실
구관조,참새목,찌르레기과,열대조류관
푸른찌르레기,참새목,찌르레기과,열대조류관
화식조,타조목,화식조과,호주관
관학,두루미목,두루미과,황새마을
쇠재두루미,두루미목,두루미과,큰물새장
두루미,두루미목,두루미과,큰물새장
아프리카흑따오기,황새목,따오기과,황새마을
홍따오기,황새목,따오기과,황새마을
흑따오기,황새목,따오기과,황새마을
타조,타조목,타조과,제1아프리카관
카나다기러기,기러기목,오리과,큰물새장
큰기러기,기러기목,오리과,큰물새장
검은고니,기러기목,오리과,큰물새장
큰유황앵무(황관앵무),앵무목,앵무과,열대조류관
수리부엉이,올빼미목,올빼미과,맹금사
올빼미,올빼미목,올빼미과,맹금사
흰꼬리수리,매목,수리과,맹금사
