name,ordinal,branch,location
팬케이크육지거북,거북목,땅거북과,동양관
솔방울도마뱀,뱀목,도마뱀과,동양관
유로메스틱스게리,뱀목,아가마과,동양관
시밀리스왕도마뱀,뱀목,왕도마뱀과,동양관
레이저백머스크터틀,거북목,-,곤충관
초록나무비단구렁이,뱀목,왕뱀과,동양관
콘스네이크,뱀목,뱀과,동양관
방사거북,거북목,땅거북과,남미관
푸에블란밀크스네이크,뱀목,뱀과,동양관
인도별거북,거북목,땅거북과,동양관
초록이구아나,뱀목,이과나과,동양관
아시아큰거북,거북목,거북과,동양관
볼파이손,유린목,왕뱀과,동양관
버마왕뱀,유린목,왕뱀과,동양관
민며느리발톱거북,거북목,땅거북과,동양관
돼지코거북,거북목,자라과,남미관
뉴기니악어,악어목,크로코다일과,동양관
남생이,거북목,거북과,종보전센터
난쟁이악어,악어목,크로코다일과,남미관
악어거북,거북목,큰머리거북과,남미관
바다악어,악어목,크로코다일과,남미관
누룩뱀,뱀목,뱀과,동양관
구렁이,유린목,뱀과,동양관
노랑아나콘다,뱀목,왕뱀과,남미관
그물무늬왕뱀,유린목,왕뱀과,동양관
